Clock_Time, Current, V_battery, CCF, SoC
0,0.500000,4.089369,0.988892,1.000000 
5000,0.500000,4.085176,0.988892,0.999649 
10000,0.500000,4.081468,0.988891,0.999298 
15000,0.500000,4.078173,0.988891,0.998947 
20000,0.500000,4.075235,0.988891,0.998596 
25000,0.500000,4.072600,0.988891,0.998245 
30000,0.500000,4.070228,0.988891,0.997894 
35000,0.500000,4.068084,0.988891,0.997542 
40000,0.500000,4.066139,0.988891,0.997190 
45000,0.500000,4.064365,0.988891,0.996839 
50000,0.500000,4.062740,0.988891,0.996487 
55000,0.500000,4.061245,0.988891,0.996136 
60000,0.500000,4.059861,0.988891,0.995784 
65000,0.500000,4.058575,0.988891,0.995433 
70000,0.500000,4.057374,0.988890,0.995081 
75000,0.500000,4.056247,0.988890,0.994729 
80000,0.500000,4.055185,0.988890,0.994378 
85000,0.500000,4.054185,0.988890,0.994026 
90000,0.500000,4.053236,0.988890,0.993675 
95000,0.500000,4.052331,0.988890,0.993323 
100000,0.500000,4.051464,0.988890,0.992972 
105000,0.500000,4.050631,0.988890,0.992620 
110000,0.500000,4.049827,0.988890,0.992268 
115000,0.500000,4.049052,0.988890,0.991919 
120000,0.500000,4.048301,0.988890,0.991569 
125000,0.500000,4.047572,0.988889,0.991220 
130000,0.500000,4.046862,0.988889,0.990871 
135000,0.500000,4.046170,0.988889,0.990522 
140000,0.500000,4.045493,0.988889,0.990172 
145000,0.500000,4.044829,0.988889,0.989823 
150000,0.500000,4.044180,0.988889,0.989474 
155000,0.500000,4.043546,0.988889,0.989125 
160000,0.500000,4.042922,0.988889,0.988775 
165000,0.500000,4.042305,0.988889,0.988426 
170000,0.500000,4.041696,0.988889,0.988077 
175000,0.500000,4.041100,0.988889,0.987728 
180000,0.500000,4.040519,0.988889,0.987378 
185000,0.500000,4.039953,0.988888,0.987029 
190000,0.500000,4.039392,0.988888,0.986680 
195000,0.500000,4.038838,0.988888,0.986331 
200000,0.500000,4.038289,0.988888,0.985981 
205000,0.500000,4.037745,0.988888,0.985632 
210000,0.500000,4.037206,0.988888,0.985283 
215000,0.500000,4.036674,0.988888,0.984934 
220000,0.500000,4.036145,0.988888,0.984584 
225000,0.500000,4.035620,0.988888,0.984233 
230000,0.500000,4.035095,0.988888,0.983879 
235000,0.500000,4.034576,0.988888,0.983526 
240000,0.500000,4.034062,0.988887,0.983172 
245000,0.500000,4.033553,0.988887,0.982818 
250000,0.500000,4.033048,0.988887,0.982464 
255000,0.500000,4.032547,0.988887,0.982110 
260000,0.500000,4.032050,0.988887,0.981756 
265000,0.500000,4.031558,0.988887,0.981402 
270000,0.500000,4.031070,0.988887,0.981048 
275000,0.500000,4.030585,0.988887,0.980694 
280000,0.500000,4.030105,0.988887,0.980340 
285000,0.500000,4.029629,0.988887,0.979986 
290000,0.500000,4.029156,0.988887,0.979633 
295000,0.500000,4.028687,0.988887,0.979279 
300000,0.500000,4.028224,0.988886,0.978925 
305000,0.500000,4.027762,0.988886,0.978571 
310000,0.500000,4.027301,0.988886,0.978217 
315000,0.500000,4.026844,0.988886,0.977863 
320000,0.500000,4.026391,0.988886,0.977509 
325000,0.500000,4.025940,0.988886,0.977155 
330000,0.500000,4.025495,0.988886,0.976801 
335000,0.500000,4.025052,0.988886,0.976447 
340000,0.500000,4.024611,0.988886,0.976094 
345000,0.500000,4.024173,0.988886,0.975740 
350000,0.500000,4.023739,0.988886,0.975386 
355000,0.500000,4.023308,0.988885,0.975032 
360000,0.500000,4.022880,0.988885,0.974678 
365000,0.500000,4.022454,0.988885,0.974324 
370000,0.500000,4.022032,0.988885,0.973970 
375000,0.500000,4.021613,0.988885,0.973616 
380000,0.500000,4.021194,0.988885,0.973262 
385000,0.500000,4.020774,0.988885,0.972908 
390000,0.500000,4.020360,0.988885,0.972555 
395000,0.500000,4.019948,0.988885,0.972201 
400000,0.500000,4.019539,0.988885,0.971847 
405000,0.500000,4.019131,0.988885,0.971493 
410000,0.500000,4.018726,0.988885,0.971139 
415000,0.500000,4.018323,0.988884,0.970785 
420000,0.500000,4.017923,0.988884,0.970431 
425000,0.500000,4.017525,0.988884,0.970077 
430000,0.500000,4.017112,0.988884,0.969723 
435000,0.500000,4.016716,0.988884,0.969369 
440000,0.500000,4.016324,0.988884,0.969015 
445000,0.500000,4.015933,0.988884,0.968662 
450000,0.500000,4.015545,0.988884,0.968308 
455000,0.500000,4.015160,0.988884,0.967954 
460000,0.500000,4.014774,0.988884,0.967600 
465000,0.500000,4.014391,0.988884,0.967246 
470000,0.500000,4.014009,0.988883,0.966892 
475000,0.500000,4.013629,0.988883,0.966538 
480000,0.500000,4.013252,0.988883,0.966184 
485000,0.500000,4.012876,0.988883,0.965830 
490000,0.500000,4.012501,0.988883,0.965476 
495000,0.500000,4.012128,0.988883,0.965123 
500000,0.500000,4.011756,0.988883,0.964769 
505000,0.500000,4.011387,0.988883,0.964415 
510000,0.500000,4.011019,0.988883,0.964061 
515000,0.500000,4.010652,0.988883,0.963707 
520000,0.500000,4.010287,0.988883,0.963353 
525000,0.500000,4.009924,0.988882,0.962999 
530000,0.500000,4.009561,0.988882,0.962645 
535000,0.500000,4.009199,0.988882,0.962291 
540000,0.500000,4.008839,0.988882,0.961937 
545000,0.500000,4.008480,0.988882,0.961584 
550000,0.500000,4.008122,0.988882,0.961230 
555000,0.500000,4.007765,0.988882,0.960876 
560000,0.500000,4.007410,0.988882,0.960522 
565000,0.500000,4.007056,0.988882,0.960168 
570000,0.500000,4.006703,0.988882,0.959814 
575000,0.500000,4.006351,0.988882,0.959460 
580000,0.500000,4.006001,0.988882,0.959106 
585000,0.500000,4.005633,0.988881,0.958752 
590000,0.500000,4.005284,0.988881,0.958398 
595000,0.500000,4.004937,0.988881,0.958045 
600000,0.500000,4.004591,0.988881,0.957691 
605000,0.500000,4.004246,0.988881,0.957337 
610000,0.500000,4.003902,0.988881,0.956983 
615000,0.500000,4.003560,0.988881,0.956629 
620000,0.500000,4.003217,0.988881,0.956275 
625000,0.500000,4.002876,0.988881,0.955921 
630000,0.500000,4.002536,0.988881,0.955567 
635000,0.500000,4.002196,0.988881,0.955213 
640000,0.500000,4.001858,0.988881,0.954859 
645000,0.500000,4.001521,0.988880,0.954506 
650000,0.500000,4.001184,0.988880,0.954152 
655000,0.500000,4.000848,0.988880,0.953798 
660000,0.500000,4.000514,0.988880,0.953444 
665000,0.500000,4.000180,0.988880,0.953090 
670000,0.500000,3.999847,0.988880,0.952736 
675000,0.500000,3.999515,0.988880,0.952382 
680000,0.500000,3.999183,0.988880,0.952028 
685000,0.500000,3.998852,0.988880,0.951674 
690000,0.500000,3.998522,0.988880,0.951320 
695000,0.500000,3.998193,0.988880,0.950966 
700000,0.500000,3.997865,0.988879,0.950613 
705000,0.500000,3.997537,0.988879,0.950259 
710000,0.500000,3.997210,0.988879,0.949905 
715000,0.500000,3.996883,0.988879,0.949551 
720000,0.500000,3.996558,0.988879,0.949197 
725000,0.500000,3.996233,0.988879,0.948843 
730000,0.500000,3.995909,0.988879,0.948489 
735000,0.500000,3.995585,0.988879,0.948135 
740000,0.500000,3.995262,0.988879,0.947781 
745000,0.500000,3.994940,0.988879,0.947427 
750000,0.500000,3.994619,0.988879,0.947074 
755000,0.500000,3.994298,0.988878,0.946720 
760000,0.500000,3.993977,0.988878,0.946366 
765000,0.500000,3.993658,0.988878,0.946012 
770000,0.500000,3.993339,0.988878,0.945658 
775000,0.500000,3.993020,0.988878,0.945304 
780000,0.500000,3.992702,0.988878,0.944950 
785000,0.500000,3.992385,0.988878,0.944596 
790000,0.500000,3.992069,0.988878,0.944242 
795000,0.500000,3.991753,0.988878,0.943888 
800000,0.500000,3.991437,0.988878,0.943534 
805000,0.500000,3.991122,0.988878,0.943181 
810000,0.500000,3.990808,0.988878,0.942827 
815000,0.500000,3.990494,0.988877,0.942473 
820000,0.500000,3.990180,0.988877,0.942119 
825000,0.500000,3.989867,0.988877,0.941765 
830000,0.500000,3.989554,0.988877,0.941411 
835000,0.500000,3.989248,0.988877,0.941057 
840000,0.500000,3.988947,0.988877,0.940703 
845000,0.500000,3.988647,0.988877,0.940349 
850000,0.500000,3.988348,0.988877,0.939995 
855000,0.500000,3.988048,0.988877,0.939642 
